ID,RegNumber,Make,Model,Year,FuelType,Status,AssignedTo_ID,Odometer,NextServiceDue,NextServiceOdometer,createdAt,createdBy,modifiedAt,modifiedBy
a1b2c3d4-1001-4a11-9a11-1a2b3c4d5e6f,KA-01-VEH-0001,Toyota,Innova,2020,Diesel,Assigned,a1b2c3d4-1111-4a11-9a11-1a2b3c4d5e6f,82000.00,2025-06-10,90000,2023-01-10T10:00:00.000Z,system,2024-03-01T10:00:00.000Z,system
b2c3d4e5-1002-4b22-9b22-2b3c4d5e6f7a,KA-02-VEH-0002,Hyundai,i20,2021,Petrol,Available,b2c3d4e5-2222-4b22-9b22-2b3c4d5e6f7a,45000.50,2025-08-15,50000,2023-01-11T10:00:00.000Z,system,2024-03-01T10:00:00.000Z,system
c3d4e5f6-1003-4c33-9c33-3c4d5e6f7a8b,KA-03-VEH-0003,Tata,Nexon,2022,Diesel,UnderMaintenance,c3d4e5f6-3333-4c33-9c33-3c4d5e6f7a8b,39000.00,2025-05-20,42000,2023-01-12T10:00:00.000Z,system,2024-03-01T10:00:00.000Z,system
d4e5f6a7-1004-4d44-9d44-4d5e6f7a8b9c,KA-04-VEH-0004,Maruti,Swift,2019,Petrol,Assigned,d4e5f6a7-4444-4d44-9d44-4d5e6f7a8b9c,98000.00,2025-09-01,105000,2023-01-13T10:00:00.000Z,system,2024-03-01T10:00:00.000Z,system
e5f6a7b8-1005-4e55-9e55-5e6f7a8b9c0d,KA-05-VEH-0005,Hyundai,Creta,2023,Diesel,Available,e5f6a7b8-5555-4e55-9e55-5e6f7a8b9c0d,21000.00,2026-01-10,30000,2023-01-14T10:00:00.000Z,system,2024-03-01T10:00:00.000Z,system
f6a7b8c9-1006-4f66-9f66-6f7a8b9c0d1e,KA-06-VEH-0006,Tesla,Model3,2024,Electric,Available,f6a7b8c9-6666-4f66-9f66-6f7a8b9c0d1e,12000.00,2026-06-30,20000,2023-01-15T10:00:00.000Z,system,2024-03-01T10:00:00.000Z,system
1a2b3c4d-1007-4a77-9a77-7a8b9c0d1e2f,KA-07-VEH-0007,Mahindra,Scorpio,2022,Diesel,Retired,1a2b3c4d-7777-4a77-9a77-7a8b9c0d1e2f,150000.00,2024-02-10,155000,2023-01-16T10:00:00.000Z,system,2024-03-01T10:00:00.000Z,system
2b3c4d5e-1008-4b88-9b88-8b9c0d1e2f3a,KA-08-VEH-0008,Tata,Harrier,2021,Diesel,Assigned,2b3c4d5e-8888-4b88-9b88-8b9c0d1e2f3a,67000.00,2025-03-25,72000,2023-01-17T10:00:00.000Z,system,2024-03-01T10:00:00.000Z,system
3c4d5e6f-1009-4c99-9c99-9c0d1e2f3a4b,KA-09-VEH-0009,Maruti,Dzire,2020,Petrol,UnderMaintenance,3c4d5e6f-9999-4c99-9c99-9c0d1e2f3a4b,88000.00,2025-11-11,90000,2023-01-18T10:00:00.000Z,system,2024-03-01T10:00:00.000Z,system
4d5e6f7a-1010-4daa-9daa-0d1e2f3a4b5c,KA-10-VEH-0010,Toyota,Fortuner,2023,Diesel,Assigned,4d5e6f7a-aaaa-4daa-9daa-0d1e2f3a4b5c,34000.00,2026-02-18,45000,2023-01-19T10:00:00.000Z,system,2024-03-01T10:00:00.000Z,system
5e6f7a8b-1011-4ebb-9ebb-1e2f3a4b5c6d,KA-11-VEH-0011,Hyundai,Verna,2021,Petrol,Available,5e6f7a8b-bbbb-4ebb-9ebb-1e2f3a4b5c6d,56000.00,2025-07-10,60000,2023-01-20T10:00:00.000Z,system,2024-03-01T10:00:00.000Z,system
6f7a8b9c-1012-4fcc-9fcc-2f3a4b5c6d7e,KA-12-VEH-0012,Tata,Tiago,2020,Petrol,Assigned,6f7a8b9c-cccc-4fcc-9fcc-2f3a4b5c6d7e,72000.00,2025-10-05,75000,2023-01-21T10:00:00.000Z,system,2024-03-01T10:00:00.000Z,system
7a8b9c0d-1013-4add-9add-3a4b5c6d7e8f,KA-13-VEH-0013,Mahindra,XUV700,2023,Diesel,Available,7a8b9c0d-dddd-4add-9add-3a4b5c6d7e8f,28000.00,2026-03-18,35000,2023-01-22T10:00:00.000Z,system,2024-03-01T10:00:00.000Z,system
8b9c0d1e-1014-4bee-9bee-4b5c6d7e8f9a,KA-14-VEH-0014,Toyota,Etios,2019,Diesel,Retired,8b9c0d1e-eeee-4bee-9bee-4b5c6d7e8f9a,160000.00,2024-01-15,165000,2023-01-23T10:00:00.000Z,system,2024-03-01T10:00:00.000Z,system
9c0d1e2f-1015-4cff-9cff-5c6d7e8f9a0b,KA-15-VEH-0015,Maruti,Baleno,2022,Petrol,Assigned,9c0d1e2f-ffff-4cff-9cff-5c6d7e8f9a0b,42000.00,2025-12-20,50000,2023-01-24T10:00:00.000Z,system,2024-03-01T10:00:00.000Z,system
